"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"IDTIIFTM","journalArticle","2011","Küpper, Andreas H. W.; Maschberger, Thomas; Kroupa, Pavel; Baumgardt, Holger","Mass segregation and fractal substructure in young massive clusters - I. The McLuster code and method calibration","Monthly Notices of the Royal Astronomical Society","","","10.1111/j.1365-2966.2011.19412.x","https://ui.adsabs.harvard.edu/#abs/2011MNRAS.417.2300K/abstract","A powerful, streamlined new way to search the Astrophysics Data System","2011-11","2017-01-12 15:14:08","2017-01-12 15:14:08","2017-01-12 15:14:08","","","","417","","","","","","","","","","","","","","","ui.adsabs.harvard.edu","","","","/home/gabriel/Dropbox/apps_sync/Zot/2011/Küpper et al. 2011 - Mass segregation and fractal substructure in young massive clusters - I.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NX5S4Z82","journalArticle","2013","Schirmer, M.","THELI: Convenient Reduction of Optical, Near-infrared, and Mid-infrared Imaging Data","The Astrophysical Journal Supplement Series","","0067-0049","10.1088/0067-0049/209/2/21","http://adsabs.harvard.edu/abs/2013ApJS..209...21S","The last 15 years have seen a surge of new multi-chip optical and  near-IR imagers. While some of them are accompanied by specific reduction pipelines, user-friendly and generic reduction tools are uncommon. In this paper I introduce THELI, an easy-to-use graphical interface driving an end-to-end pipeline for the reduction of any optical, near-IR, and mid-IR imaging data. The advantages of THELI when compared to other approaches are highlighted. Combining a multitude of processing algorithms and third party software, THELI provides researchers with a single, homogeneous tool. A short learning curve ensures quick success for new and more experienced observers alike. All tasks are largely automated, while at the same time a high level of flexibility and alternative reduction schemes ensure that widely different scientific requirements can be met. Over 90 optical and infrared instruments at observatories world-wide are pre-configured, while more can be added by the user. The Appendices contain three walk-through examples using public data (optical, near-IR, and mid-IR). Additional extensive documentation for training and troubleshooting is available online.","2013-12-01","2017-01-12 15:12:48","2017-01-12 15:12:48","2017-01-12 15:12:48","21","","","209","","The Astrophysical Journal Supplement Series","THELI","","","","","","","","","","","","NASA ADS","","","","/home/gabriel/Dropbox/apps_sync/Zot/2013/Schirmer 2013 - THELI.pdf","","","techniques: image processing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WT97RSKB","journalArticle","2017","Mommert, M.","PHOTOMETRYPIPELINE: An automated pipeline for calibrated photometry","Astronomy and Computing","","2213-1337","10.1016/j.ascom.2016.11.002","http://www.sciencedirect.com/science/article/pii/S2213133716300816","PHOTOMETRYPIPELINE (PP) is an automated pipeline for calibrated photometry from imaging data that provides image registration, aperture photometry, photometric calibration, and target identification with only minimal human interaction. Photometric calibration is obtained through matching the background source catalog with star catalogs with reliable photometry in an iterative process. Relying on a sufficient number of background stars for image registration and photometric calibration, PP is well-suited to analyze data from small to medium-sized telescopes. Calibrated magnitudes obtained by PP are accurate within ≤ 0.05 mag and astrometric accuracies are of the order of 0.3 arcsec relative to the catalogs used in the registration. The pipeline consists of an open-source software suite written in Python 2.7 and utilizes freely available software for some tasks. PP can be run on Unix-based systems on a simple desktop machine and is capable of realtime data analysis. PP has been developed for observations of moving targets, but can be used for analysing point source observations of any kind.","2017-01","2017-01-04 14:25:08","2017-01-11 13:49:58","2017-01-04 14:25:08","","","","","","Astronomy and Computing","PHOTOMETRYPIPELINE","","","","","","","","","","","","ScienceDirect","","1","","/home/gabriel/Dropbox/apps_sync/Zot/2017/Mommert 2017 - PHOTOMETRYPIPELINE.pdf","","","astrometry; Methods; data analysis; photometry; Techniques","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MAK2PPNI","journalArticle","2017","Yu, W.; Carrasco Kind, M.; Brunner, R. J.","Vizic: A Jupyter-based Interactive Visualization Tool for Astronomical Catalogs","ArXiv e-prints","","","","http://adsabs.harvard.edu/abs/2017arXiv170101222Y","The ever-growing datasets in observational astronomy have challenged scientists in many aspects, including an efficient and interactive data exploration and visualization. Many tools have been developed to confront this challenge. However, they usually focus on displaying the actual images or focus on visualizing patterns within catalogs in a predefined way. In this paper we introduce Vizic, a Python visualization library that builds the connection between images and catalogs through an interactive map of the sky region. Vizic visualizes catalog data over a custom background canvas using the shape, size and orientation of each object in the catalog. The displayed objects in the map are highly interactive and customizable comparing to those in the images. These objects can be filtered by or colored by their property values, such as redshift and magnitude. They also can be sub-selected using a lasso-like tool for further analysis using standard Python functions from inside a Jupyter notebook. Furthermore, Vizic allows custom overlays to be appended dynamically on top of the sky map. We have initially implemented several overlays, namely, Voronoi, Delaunay, Minimum Spanning Tree and HEALPix layers, which are helpful for visualizing large-scale structure. All these overlays can be generated, added or removed dynamically with just one line of code. The catalog data is kept in a non-relational database, and the interfaces were developed in JavaScript and Python to work within Jupyter Notebook, which allows to create custom widgets, user generated scripts to analyze and plot the data selected/displayed in the interactive map. This unique design makes Vizic a very powerful and flexible interactive analysis tool. Vizic can be adopted in variety of exercises, for example, data inspection, clustering analysis, galaxy alignment studies, outlier identification or simply large-scale visualizations.","2017-01-01","2017-01-06 15:41:56","2017-01-06 18:32:08","2017-01-06 15:41:56","arXiv:1701.01222","","","1701","","ArXiv e-prints","Vizic","","","","","","","","","","","","NASA ADS","","1","","/home/gabriel/Dropbox/apps_sync/Zot/2017/Yu et al. 2017 - Vizic.pdf","","","Astrophysics - Instrumentation and Methods for Astrophysics; Astrophysics - Cosmology and Nongalactic Astrophysics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FKZTWRFR","journalArticle","2016","Bektešević, Dino; Vinković, Dejan","Linear feature detection algorithm for astronomical surveys - I. Algorithm description","arXiv:1612.04748 [astro-ph]","","","","http://arxiv.org/abs/1612.04748","Computer vision algorithms are powerful tools in astronomical image analyses, especially when automatization of object detection and extraction is required. Modern object detection algorithms in astronomy are oriented towards detection of stars and galaxies, ignoring completely detection of existing linear features. With the emergence of wide field sky surveys, linear features attract scientific interest as possible trails of fast flybys of near-Earth asteroids and meteors. In this work we describe a new linear feature detection algorithm designed specifically for implementation in Big Data astronomy. The algorithm combines a series of algorithmic steps that first remove other objects (stars, galaxies) from the image and then enhance the line to enable more efficient line detection with the Hough algorithm. The rate of false positives is greatly reduced thanks to a step that replaces possible line segments with rectangles and then compares lines fitted to the rectangles with the lines obtained directly from the image. The speed of the algorithm and its applicability in astronomical surveys are also discussed.","2016-12-14","2016-12-15 13:26:24","2016-12-15 13:26:44","2016-12-15 13:26:24","","","","","","","","","","","","","","","","","","","arXiv.org","","","","/home/gabriel/Dropbox/apps_sync/Zot/2016/Bektešević_Vinković 2016 Linear feature detection algorithm for astronomical surveys - I.pdf","","","Astrophysics - Instrumentation and Methods for Astrophysics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PC47MW46","journalArticle","2016","Robotham, A. S. G.; Taranu, D. S.; Tobar, R.; A; Moffett; Driver, S. P.","ProFit: Bayesian Profile Fitting of Galaxy Images","arXiv:1611.08586 [astro-ph]","","","","http://arxiv.org/abs/1611.08586","We present ProFit, a new code for Bayesian two-dimensional photometric galaxy profile modelling. ProFit consists of a low-level C++ library (libprofit), accessible via a command-line interface and documented API, along with high-level R (ProFit) and Python (PyProFit) interfaces (available at github.com/ICRAR/ libprofit, github.com/ICRAR/ProFit, and github.com/ICRAR/pyprofit respectively). R ProFit is also available pre-built from CRAN, however this version will be slightly behind the latest GitHub version. libprofit offers fast and accurate two- dimensional integration for a useful number of profiles, including Sersic, Core-Sersic, broken-exponential, Ferrer, Moffat, empirical King, point-source and sky, with a simple mechanism for adding new profiles. We show detailed comparisons between libprofit and GALFIT. libprofit is both faster and more accurate than GALFIT at integrating the ubiquitous Serrsic profile for the most common values of the Serrsic index n (0.5 < n < 8). The high-level fitting code ProFit is tested on a sample of galaxies with both SDSS and deeper KiDS imaging. We find good agreement in the fit parameters, with larger scatter in best-fit parameters from fitting images from different sources (SDSS vs KiDS) than from using different codes (ProFit vs GALFIT). A large suite of Monte Carlo-simulated images are used to assess prospects for automated bulge-disc decomposition with ProFit on SDSS, KiDS and future LSST imaging. We find that the biggest increases in fit quality come from moving from SDSS- to KiDS-quality data, with less significant gains moving from KiDS to LSST.","2016-11-22","2016-11-28 18:08:53","2016-11-28 18:19:49","2016-11-28 18:08:53","","","","","","","ProFit","","","","","","","","","","","","arXiv.org","","","","/home/gabriel/Dropbox/apps_sync/Zot/2016/Robotham et al 2016 ProFit.pdf","","","Astrophysics - Astrophysics of Galaxies; Astrophysics - Instrumentation and Methods for Astrophysics; Astrophysics - Cosmology and Nongalactic Astrophysics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JCJE9NRR","journalArticle","2016","Streicher, Ole","Debian Astro: An open computing platform for astronomy","arXiv:1611.07203 [astro-ph]","","","","http://arxiv.org/abs/1611.07203","Debian Astro is a Debian Pure Blend that aims to distribute the available astronomy software within the Debian operating system. Using Debian as the foundation has unique advantages for end-users and developers such as an easy installation and upgrading of packages, an open distribution and development model, or the reproducibility due to the standardized build system.","2016-11-22","2016-11-23 11:58:16","2016-11-23 11:58:26","2016-11-23 11:58:16","","","","","","","Debian Astro","","","","","","","","","","","","arXiv.org","","","","/home/gabriel/Dropbox/apps_sync/Zot/2016/Streicher 2016 Debian Astro.pdf","","","Astrophysics - Instrumentation and Methods for Astrophysics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RRVKZDM9","webpage","","","Starlink Tables Infrastructure Library Tool Set (STILTS)","","","","","http://www.star.bristol.ac.uk/~mbt/stilts/","","","2017-06-07 17:49:17","2017-06-07 17:49:39","2017-06-07 17:49:17","","","","","","","","","","","","","","","","","","","","","","","/home/gabriel/Zotero/storage/5J22ESPW/stilts.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AR4I4KI5","journalArticle","2017","Kerzendorf, W. E.","Knowledge discovery through text-based similarity searches for astronomy literature","ArXiv e-prints","","","","http://adsabs.harvard.edu/abs/2017arXiv170505840K","The increase in the number of researchers coupled with the ease of  publishing and distribution of scientific papers (due to technological advancements) has resulted in a dramatic increase in astronomy literature. This has likely led to the predicament that the body of the literature is too large for traditional human consumption and that related and crucial knowledge is not discovered by researchers. In addition to the increased production of astronomical literature, recent decades have also brought several advancements in computer linguistics. Especially, the machine aided processing of literature dissemination might make it possible to convert this stream of papers into a coherent knowledge set. In this paper, we present the application of computer linguistics techniques on astronomy literature. In particular, we developed a tool that will find similar articles purely based on text content given an input paper. We find that our technique performs robustly in comparison with other tools recommending articles given a reference papers (known as recommender system). Our novel tool shows the great power in combining computer linguistics with astronomy literature and suggests that additional research in this endeavor will likely produce even better tools that will help researchers cope with the vast amounts of knowledge being produced.","2017-05-01","2017-05-18 21:51:13","2017-06-05 12:45:35","","arXiv:1705.05840","","","1705","","ArXiv e-prints","","","","","","","","","","","","","NASA ADS","","2","","/home/gabriel/Dropbox/apps_sync/Zot/2017/Kerzendorf 2017 - Knowledge discovery through text-based similarity searches for astronomy.pdf","","","Astrophysics - Instrumentation and Methods for Astrophysics; Computer Science - Digital Libraries","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7PVDEBPC","computerProgram","2017","Sahlmann, Johannes","pygacs: Toolkit to manipulate Gaia catalogue tables hosted at ESAC archive","","","","","https://github.com/Johannes-Sahlmann/pygacs","","2017-05-22","2017-05-22 16:51:36","2017-05-22 16:51:44","","","","","","","","pygacs","","","","","","","","LGPL-3.0","","","","GitHub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Python","","","","","","","","",""
"SYHT2LDB","journalArticle","2017","Pato, Miguel; Iocco, Fabio","$\texttt{galkin}$: a new compilation of the Milky Way rotation curve data","ArXiv e-prints","","","","http://adsabs.harvard.edu/abs/2017arXiv170300020P","We present $\texttt{galkin}$, a novel compilation of kinematic measurements tracing the rotation curve of our Galaxy, together with a tool to treat the data. The compilation is optimised to Galactocentric radii between 3 and 20 kpc and includes the kinematics of gas, stars and masers in a total of 2780 measurements carefully collected from almost four decades of literature. A simple, user-friendly tool is provided to select, treat and retrieve the data of all source references considered. This tool is especially designed to facilitate the use of kinematic data in dynamical studies of the Milky Way with various applications ranging from dark matter constraints to tests of modified gravity.","2017-02-01","2017-03-02 15:02:17","2017-03-03 15:38:56","","arXiv:1703.00020","","","1703","","ArXiv e-prints","$\texttt{galkin}$","","","","","","","","","","","","NASA ADS","","1","","/home/gabriel/Dropbox/apps_sync/Zot/2017/Pato and Iocco 2017 - $-texttt{galkin}$.pdf","","","Astrophysics - Astrophysics of Galaxies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CDMT9ME8","journalArticle","2017","Meingast, Stefan; Lombardi, Marco; Alves, Joao","Estimating Extinction using Unsupervised Machine Learning","ArXiv e-prints","","","","http://adsabs.harvard.edu/abs/2017arXiv170208456M","Dust extinction is the most robust tracer of the gas distribution in the interstellar medium, but measuring extinction is limited by the systematic uncertainties involved in estimating the intrinsic colors to background stars. In this paper we present a new technique, PNICER, that estimates intrinsic colors and extinction for individual stars using unsupervised machine learning algorithms. This new method aims to be free from any priors with respect to the column density and intrinsic color distribution. It is applicable to any combination of parameters and works in arbitrary numbers of dimensions. Furthermore, it is not restricted to color space. Extinction towards single sources is determined by fitting Gaussian Mixture Models along the extinction vector to (extinction-free) control field observations. In this way it becomes possible to describe the extinction for observed sources with probability densities. PNICER effectively eliminates known biases found in similar methods and outperforms them in cases of deep observational data where the number of background galaxies is significant, or when a large number of parameters is used to break degeneracies in the intrinsic color distributions. This new method remains computationally competitive, making it possible to correctly de-redden millions of sources within a matter of seconds. With the ever-increasing number of large-scale high-sensitivity imaging surveys, PNICER offers a fast and reliable way to efficiently calculate extinction for arbitrary parameter combinations without prior information on source characteristics. PNICER also offers access to the well-established NICER technique in a simple unified interface and is capable of building extinction maps including the NICEST correction for cloud substructure. PNICER is offered to the community as an open-source software solution and is entirely written in Python.","2017-02-01","2017-03-01 14:42:40","2017-03-01 15:32:43","","arXiv:1702.08456","","","1702","","ArXiv e-prints","","","","","","","","","","","","","NASA ADS","","1","","/home/gabriel/Dropbox/apps_sync/Zot/2017/Meingast et al. 2017 - Estimating Extinction using Unsupervised Machine Learning.pdf","","","Astrophysics - Astrophysics of Galaxies; Astrophysics - Solar and Stellar Astrophysics; Astrophysics - Instrumentation and Methods for Astrophysics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NYN38V3A","journalArticle","2017","Blanco-Cuaresma, Sergi; Bolmont, Emeline","What can the programming language Rust do for astrophysics?","ArXiv e-prints","","","","http://adsabs.harvard.edu/abs/2017arXiv170202951B","The astrophysics community uses different tools for computational tasks such as complex systems simulations, radiative transfer calculations or big data. Programming languages like Fortran, C or C++ are commonly present in these tools and, generally, the language choice was made based on the need for performance. However, this comes at a cost: safety. For instance, a common source of error is the access to invalid memory regions, which produces random execution behaviors and affects the scientific interpretation of the results. In 2015, Mozilla Research released the first stable version of a new programming language named Rust. Many features make this new language attractive for the scientific community, it is open source and it guarantees memory safety while offering zero-cost abstraction. We explore the advantages and drawbacks of Rust for astrophysics by re-implementing the fundamental parts of Mercury-T, a Fortran code that simulates the dynamical and tidal evolution of multi-planet systems.","2017-02-01","2017-02-13 18:28:44","2017-02-13 18:32:32","","arXiv:1702.02951","","","1702","","ArXiv e-prints","","","","","","","","","","","","","NASA ADS","","1","","/home/gabriel/Dropbox/apps_sync/Zot/2017/Blanco-Cuaresma and Bolmont 2017 - What can the programming language Rust do for astrophysics.pdf","","","Astrophysics - Instrumentation and Methods for Astrophysics; Computer Science - Programming Languages","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8K8GJIDV","journalArticle","2009","Cunningham, Andrew J.; Frank, Adam; Varnière, Peggy; Mitran, Sorin; Jones, Thomas W.","Simulating Magnetohydrodynamical Flow with Constrained Transport and Adaptive Mesh Refinement: Algorithms and Tests of the AstroBEAR Code","The Astrophysical Journal Supplement Series","","0067-0049","10.1088/0067-0049/182/2/519","http://stacks.iop.org/0067-0049/182/i=2/a=519","A description is given of the algorithms implemented in the AstroBEAR adaptive mesh-refinement code for ideal magnetohydrodynamics. The code provides several high-resolution shock-capturing schemes which are constructed to maintain conserved quantities of the flow in a finite-volume sense. Divergence-free magnetic field topologies are maintained to machine precision by collating the components of the magnetic field on a cell-interface staggered grid and utilizing the constrained transport approach for integrating the induction equations. The maintenance of magnetic field topologies on adaptive grids is achieved using prolongation and restriction operators which preserve the divergence and curl of the magnetic field across collocated grids of different resolutions. The robustness and correctness of the code is demonstrated by comparing the numerical solution of various tests with analytical solutions or previously published numerical solutions obtained by other codes.","2009","2017-02-01 14:07:45","2017-02-01 14:08:32","2017-02-01 14:07:45","519","","2","182","","ApJS","Simulating Magnetohydrodynamical Flow with Constrained Transport and Adaptive Mesh Refinement","","","","","","","en","","","","","Institute of Physics","","","","/home/gabriel/Dropbox/apps_sync/Zot/2009/Cunningham et al. 2009 - Simulating Magnetohydrodynamical Flow with Constrained Transport and Adaptive.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MV9KEWUA","journalArticle","2017","Cabral, Juan B.; Sánchez, Bruno; Beroiz, Martín; Domínguez, Mariano; Lares, Marcelo; Gurovich, Sebastián; Granitto, Pablo","Corral Framework: Trustworthy and Fully Functional Data Intensive Parallel Astronomical Pipelines","ArXiv e-prints","","","","http://adsabs.harvard.edu/abs/2017arXiv170105566C","Data processing pipelines are one of most common astronomical software.  This kind of programs are chains of processes that transform raw data into valuable information. In this work a Python framework for astronomical pipeline generation is presented. It features a design pattern (Model-View-Controller) on top of a SQL Relational Database capable of handling custom data models, processing stages, and result communication alerts, as well as producing automatic quality and structural measurements. This pat- tern provides separation of concerns between the user logic and data models and the processing flow inside the pipeline, delivering for free multi processing and distributed computing capabilities. For the astronomical community this means an improvement on previous data processing pipelines, by avoiding the programmer deal with the processing flow, and parallelization issues, and by making him focusing just in the algorithms involved in the successive data transformations. This software as well as working examples of pipelines are available to the community at https://github.com/toros-astro.","2017-01-01","2017-01-24 15:41:56","2017-01-25 19:43:49","2017-01-24 15:41:56","arXiv:1701.05566","","","1701","","ArXiv e-prints","Corral Framework","","","","","","","","","","","","NASA ADS","","1","","/home/gabriel/Dropbox/apps_sync/Zot/2017/Cabral et al. 2017 - Corral Framework.pdf","","","Physics - Data Analysis; Statistics and Probability; Astrophysics - Instrumentation and Methods for Astrophysics; Computer Science - Software Engineering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M43DJUH9","journalArticle","2017","Cui, Chenzhou; He, Boliang; Yu, Ce; Xiao, Jian; Li, Changhua; Fan, Dongwei; Li, Shanshan; Mi, Linying; Cao, Zihuang; Yang, Sisi; Xu, Yunfei; Chen, Yue; Li, Zheng; Han, Xu; Hong, Zhi; Yin, Shucheng; Li, Chen; Wang, Chuanjun; Fan, Yufeng; Wang, Jianguo; Chen, Junyi; Zhang, Hailong; Liu, Liang; Gao, Na; Yang, Zherui; Chen, Xiao; Liu, Min; Qiao, Cuilan; Du, Kangyu; Su, Liying; Song, Wenming","AstroCloud: A Distributed Cloud Computing and Application Platform for Astronomy","ArXiv e-prints","","","","http://adsabs.harvard.edu/abs/2017arXiv170105641C","Virtual Observatory (VO) is a data-intensively online astronomical  research and education environment, which takes advantages of advanced information technologies to achieve seamless and global access to astronomical information. AstroCloud is a cyber-infrastructure for astronomy research initiated by Chinese Virtual Observatory (China-VO) project, and also a kind of physical distributed platform which integrates lots of tasks such as telescope access proposal management, data archiving, data quality control, data release and open access, cloud based data processing and analysis. It consists of five application channels, i.e. observation, data, tools, cloud and public and is acting as a full lifecycle management system and gateway for astronomical data and telescopes. Physically, the platform is hosted in six cities currently, i.e. Beijing, Nanjing, Shanghai, Kunming, Lijiang and Urumqi, and serving more than 17 thousand users. Achievements from international Virtual Observatories and Cloud Computing are adopted heavily. In the paper, backgrounds of the project, architecture, Cloud Computing environment, key features of the system, current status and future plans are introduced.","2017-01-01","2017-01-25 18:26:56","2017-01-25 18:37:08","2017-01-25 18:26:56","arXiv:1701.05641","","","1701","","ArXiv e-prints","AstroCloud","","","","","","","","","","","","NASA ADS","","1","","/home/gabriel/Dropbox/apps_sync/Zot/2017/Cui et al. 2017 - AstroCloud.pdf","","","Astrophysics - Instrumentation and Methods for Astrophysics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AUSYQQNQ","journalArticle","2018","Allen, Alice; Teuben, Peter J.; Ryan, P. Wesley","Schroedinger's code: A preliminary study on research source code availability and link persistence in astrophysics","ArXiv e-prints","","","","http://adsabs.harvard.edu/abs/2018arXiv180102094A","We examined software usage in a sample set of astrophysics research  articles published in 2015 and searched for source code for the software mentioned in these research papers. We categorized the software to indicate whether source code is available for download and whether there are restrictions to accessing it, and if source code is not available, whether some other form of the software, such as a binary, is. We also extracted hyperlinks from one journal's 2015 research articles, as links in articles can serve as an acknowledgment of software use and lead to data used in the research, and tested them to determine which of these URLs are still accessible. For our sample of 715 software instances in the 166 articles we examined, we were able to categorize 418 records as to availability of source code and found that 285 unique codes were used, 58% of which offer source code available online for download. Of the 2,558 hyperlinks extracted from 1,669 research articles, at best, 90% of them were available over our testing period.","2018-01-01","2018-02-14 00:16:03","2018-02-14 01:45:06","2018-02-14 00:16:03","arXiv:1801.02094","","","1801","","ArXiv e-prints","Schroedinger's code","","","","","","","","","","","","NASA ADS","","2","","/home/gabriel/Dropbox/apps_sync/Zot/2018/Allen et al 2018 - Schroedinger's code.pdf","","","Astrophysics - Instrumentation and Methods for Astrophysics; Computer Science - Digital Libraries","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
